,Address.AddressLine1,Address.AddressLine2,Address.City,Address.County,Address.FormattedAddress,Address.PostalCode,Address.Subdivision,ID,Name,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,Store.AnnualSales,Store.OperatingExpenses,Store.CostOfGoodsSold,AllCapability,Latitude,Longitude
0,400 Oxford Exchange Blvd,,Oxford,Calhoun,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",36203-3459,AL,2153,Oxford,340,394,300,5755785,1246328,2749676,"['CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.6,-85.9
1,2640 Enterprise Dr,,Opelika,Lee,"2640 Enterprise Dr, Opelika, AL 36801-1511",36801-1511,AL,1499,Opelika,340,394,300,6339700,1163478,2581325,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",32.7,-85.4
2,1129 S Park St,,Carrollton,Carroll,"1129 S Park St, Carrollton, GA 30117-4429",30117-4429,GA,1073,Carrollton,336,394,300,5698724,1692902,2375482,,33.6,-85.1
3,555 Bullsboro Dr,,Newnan,Coweta,"555 Bullsboro Dr, Newnan, GA 30265-1045",30265-1045,GA,1223,Newnan,336,394,300,5243034,1839743,2770126,"['CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.42,-84.7
4,1591 Bradley Park Dr,,Columbus,Muscogee,"1591 Bradley Park Dr, Columbus, GA 31904-3071",31904-3071,GA,1179,Columbus,340,394,300,6905996,1481652,3877902,"['CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Photo Lab']",32.54,-85.01
5,1209 Peachtree Pkwy N,,Peachtree City,Fayette,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",30269-1743,GA,2129,Peachtree City,336,394,300,6040799,1236617,3734244,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.39,-84.57
6,2576 Berryhill Rd,,Montgomery,Montgomery,"2576 Berryhill Rd, Montgomery, AL 36117-3564",36117-3564,AL,1825,Montgomery,340,394,300,7665799,2118732,2780402,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",32.37,-86.14
7,2950 Chapel Hill Rd,,Douglasville,Douglas,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",30135-1708,GA,1172,Douglasville,336,394,300,6864481,2187837,3065718,"['CVS pharmacy', 'CafÈ']",33.7,-84.7
8,2754 Legends Pkwy,,Prattville,Elmore,"2754 Legends Pkwy, Prattville, AL 36066-7748",36066-7748,AL,2274,Prattville,340,394,300,8005577,1925032,3123442,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",32.48,-86.41
9,4616 Highway 280,,Birmingham,Shelby,"4616 Highway 280, Birmingham, AL 35242-5028",35242-5028,AL,1772,Birmingham 280 Corridor,340,394,300,5302212,1631031,2050432,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.4,-86.7
10,107 Pavilion Pkwy,,Fayetteville,Fayette,"107 Pavilion Pkwy, Fayetteville, GA 30214-4098",30214-4098,GA,778,Fayetteville,336,394,300,8691274,1547057,2332867,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",33.49,-84.48
11,1654 Gadsden Hwy,,Birmingham,Jefferson,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",35235-3104,AL,1773,Trussville,340,394,300,8332672,2436674,2511121,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.63,-86.66
12,5220 Jimmy Lee Smith Pkwy,,Hiram,Paulding,"5220 Jimmy Lee Smith Pkwy, Hiram, GA 30141-2739",30141-2739,GA,1400,Hiram,336,394,300,5161792,1755787,2651696,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.86,-84.76
13,250 S Colonial Dr,,Alabaster,Shelby,"250 S Colonial Dr, Alabaster, AL 35007-4657",35007-4657,AL,2276,Alabaster,340,394,300,7174563,1322056,3565118,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",33.22,-86.79
14,3660 Marketplace Blvd,,East Point,Fulton,"3660 Marketplace Blvd, East Point, GA 30344-5738",30344-5738,GA,1546,East Point,336,394,300,8712029,1388573,3170477,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.68,-84.44
15,531 Brookwood Village,,Homewood,Jefferson,"531 Brookwood Village, Homewood, AL 35209-4501",35209-4501,AL,2796,Homewood,340,394,300,6457506,1511435,3900881,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.46,-86.81
16,4125 Austell Rd,,Austell,Cobb,"4125 Austell Rd, Austell, GA 30106-1836",30106-1836,GA,1164,Austell,336,394,300,6132055,1825052,3651441,"['CVS pharmacy', 'CafÈ']",33.83,-84.64
17,5561 Grove Blvd,,Birmingham,Jefferson,"5561 Grove Blvd, Birmingham, AL 35226-4600",35226-4600,AL,2503,Hoover West,340,394,300,5012785,1065875,3927928,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.4,-86.85
18,2535 Dallas Hwy SW,,Marietta,Cobb,"2535 Dallas Hwy SW, Marietta, GA 30064-2543",30064-2543,GA,1165,West Marietta,334,394,300,7707252,1335084,3708622,"['Beauty Concierge', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",33.93,-84.62
19,3489 Lowery Pkwy,,Fultondale,Jefferson,"3489 Lowery Pkwy, Fultondale, AL 35068-1677",35068-1677,AL,2355,Fultondale,340,394,300,7056155,1050968,3919567,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",33.6,-86.83
20,3378 Cobb Pkwy NW,,Acworth,Cobb,"3378 Cobb Pkwy NW, Acworth, GA 30101-8304",30101-8304,GA,2091,Acworth,334,394,300,5430110,2458288,2587265,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.03,-84.7
21,1850 Jonesboro Rd,,Mcdonough,Henry,"1850 Jonesboro Rd, Mcdonough, GA 30253-5960",30253-5960,GA,1461,McDonough,346,394,300,8780987,2478248,2929827,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.45,-84.19
22,375 18th St,,Atlanta,Fulton,"375 18th St, Atlanta, GA 30363",30363,GA,2137,Atlanta Midtown,336,394,300,6958899,1642150,2358478,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.792,-84.399
23,2201 Cobb Pkwy SE,,Smyrna,Cobb,"2201 Cobb Pkwy SE, Smyrna, GA 30080-7633",30080-7633,GA,373,Smyrna,334,394,300,5095312,1673016,2978336,"['Beauty Concierge', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",33.87,-84.5
24,1275 Caroline St NE,,Atlanta,Dekalb,"1275 Caroline St NE, Atlanta, GA 30307-2705",30307-2705,GA,1964,Atlanta Edgewood,336,394,300,5071164,1992718,2233091,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.77,-84.34
25,4889 Promenade Pkwy,,Bessemer,Jefferson,"4889 Promenade Pkwy, Bessemer, AL 35022-7305",35022-7305,AL,2375,Bessemer,340,394,300,6856031,1331603,3654905,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",33.3,-87.0
26,740 Ernest W Barrett Pkwy NW,,Kennesaw,Cobb,"740 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144-6860",30144-6860,GA,981,Cobb,334,394,300,6382041,2076328,2995982,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",34.03,-84.6
27,2539 Piedmont Rd NE,,Atlanta,Fulton,"2539 Piedmont Rd NE, Atlanta, GA 30324-3006",30324-3006,GA,2171,Buckhead South,335,394,300,6988835,1955956,2904751,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.82,-84.36
28,100 Cherokee Pl,,Cartersville,Bartow,"100 Cherokee Pl, Cartersville, GA 30121-2954",30121-2954,GA,969,Cartersville,334,394,300,5754057,1165351,3531189,"['CafÈ', 'Photo Lab', 'Starbucks']",34.2,-84.8
29,3535 Peachtree Rd NE,,Atlanta,Fulton,"3535 Peachtree Rd NE, Atlanta, GA 30326-3287",30326-3287,GA,1197,Buckhead,335,394,300,7335143,2212391,2782627,"['Beauty Concierge', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",33.85,-84.36
30,2400 N Druid Hills Rd NE,,Atlanta,Dekalb,"2400 N Druid Hills Rd NE, Atlanta, GA 30329-3211",30329-3211,GA,1486,North Druid Hills,335,394,300,5384603,1639128,3243341,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",33.83,-84.33
31,5570 Roswell Rd,,Sandy Springs,Fulton,"5570 Roswell Rd, Sandy Springs, GA 30342-1102",30342-1102,GA,2333,Sandy Springs Prado,335,394,300,7766369,2209533,3591862,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.88,-84.38
32,1401 Johnson Ferry Rd,,Marietta,Cobb,"1401 Johnson Ferry Rd, Marietta, GA 30062-6495",30062-6495,GA,2121,Marietta East,334,394,300,5195344,1463835,3551244,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",34.0,-84.47
33,140 Woodstock Square Ave,,Woodstock,Cherokee,"140 Woodstock Square Ave, Woodstock, GA 30189-6500",30189-6500,GA,1780,Woodstock,334,394,300,8880823,1634178,3297783,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.13,-84.57
34,3040 Shallowford Rd,,Marietta,Cobb,"3040 Shallowford Rd, Marietta, GA 30062-1252",30062-1252,GA,1106,Cobb NE,334,394,300,7057655,1549546,3484542,"['Beauty Concierge', 'CafÈ']",34.0,-84.47
35,100 Perimeter Center Pl,,Atlanta,DeKalb,"100 Perimeter Center Pl, Atlanta, GA 30346-1204",30346-1204,GA,2036,Atlanta Perimeter,335,394,300,6914429,2186965,2788397,"['Accepts WIC', 'Bakery', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.92,-84.34
36,4241 Lavista Rd,,Tucker,DeKalb,"4241 Lavista Rd, Tucker, GA 30084-5310",30084-5310,GA,1390,Northlake,346,394,300,8633098,1263874,2164252,"['Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.86,-84.21
37,1135 Woodstock Rd,,Roswell,Fulton,"1135 Woodstock Rd, Roswell, GA 30075-2231",30075-2231,GA,1761,Roswell,334,394,300,6218370,1319170,3844716,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.06,-84.38
